surface,xi,mu_MeV,T_MeV,rho,layer,status,interpolation_method,source_key_left,source_key_right,source_keys,distance_to_source_MeV,mu_CEP_proxy_MeV,T_CEP_bracket_low_MeV,T_CEP_bracket_high_MeV,boundary_relation,physical_region,error_estimate,source_layer,calculation_sha,v6_manifest_hash
crossover,-0.5,202.33883159063282,147.05794296043803,2.1673294712847246,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.5;mu_MeV=200.641532909,xi=-0.5;mu_MeV=201.49018225,xi=-0.5;mu_MeV=200.641532909|xi=-0.5;mu_MeV=201.49018225,0.8486493408340721,202.33883159063282,147.0625,147.125,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.4875,205.4752329298986,146.6939575719718,2.2459210920743864,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.4875;mu_MeV=202.483788857,xi=-0.4875;mu_MeV=203.979510893,xi=-0.4875;mu_MeV=202.483788857|xi=-0.4875;mu_MeV=203.979510893,1.4957220365461126,205.4752329298986,146.6875,146.75,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.475,208.70302471139712,146.26106485968225,2.2382692787304257,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.475;mu_MeV=204.42594868,xi=-0.475;mu_MeV=206.564486695,xi=-0.475;mu_MeV=204.42594868|xi=-0.475;mu_MeV=206.564486695,2.1385380159256897,208.70302471139712,146.25,146.3125,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.46875,210.1999886145935,146.07656814643937,2.2230791843691335,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.46875;mu_MeV=205.321016937,xi=-0.46875;mu_MeV=207.760502776,xi=-0.46875;mu_MeV=205.321016937|xi=-0.46875;mu_MeV=207.760502776,2.4394858387638294,210.1999886145935,146.0625,146.125,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.4625,211.6782842710092,145.89489744175012,2.239336030161731,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.4625;mu_MeV=206.175042269,xi=-0.4625;mu_MeV=208.92666327,xi=-0.4625;mu_MeV=206.175042269|xi=-0.4625;mu_MeV=208.92666327,2.751621001201073,211.6782842710092,145.875,145.9375,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.45625,213.13842596736504,145.70375626846084,2.2082710640701917,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.45625;mu_MeV=207.078855474,xi=-0.45625;mu_MeV=210.108640721,xi=-0.45625;mu_MeV=207.078855474|xi=-0.45625;mu_MeV=210.108640721,3.029785246545117,213.13842596736504,145.6875,145.75,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.45,214.58090311276464,145.53009059903926,2.23493987384873,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.45;mu_MeV=207.942194025,xi=-0.45;mu_MeV=211.261548569,xi=-0.45;mu_MeV=207.942194025|xi=-0.45;mu_MeV=211.261548569,3.3193545438880676,214.58090311276464,145.5,145.5625,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.4375,217.58023890759063,145.1052964143692,2.2357717830933552,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.4375;mu_MeV=209.669709042,xi=-0.4375;mu_MeV=213.624973975,xi=-0.4375;mu_MeV=209.669709042|xi=-0.4375;mu_MeV=213.624973975,3.9552649327433187,217.58023890759063,145.0625,145.125,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.425,220.3465222325703,144.7307845037345,2.2038919324822115,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.425;mu_MeV=211.379368119,xi=-0.425;mu_MeV=215.862945176,xi=-0.425;mu_MeV=211.379368119|xi=-0.425;mu_MeV=215.862945176,4.483577056689427,220.3465222325703,144.6875,144.75,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.4125,223.05083868165676,144.378709337575,2.2179048563969572,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.4125;mu_MeV=213.000681487,xi=-0.4125;mu_MeV=218.025760084,xi=-0.4125;mu_MeV=213.000681487|xi=-0.4125;mu_MeV=218.025760084,5.025078597303178,223.05083868165676,144.3125,144.375,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.4,225.69615128408822,144.0107964917411,2.2030301175034888,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.4;mu_MeV=214.574825313,xi=-0.4;mu_MeV=220.135488299,xi=-0.4;mu_MeV=214.574825313|xi=-0.4;mu_MeV=220.135488299,5.560662985411113,225.69615128408822,143.9375,144.0,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.3875,228.44206297683934,143.50387864394528,2.282381425150881,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.3875;mu_MeV=227.552757583,xi=-0.3875;mu_MeV=227.99741028,xi=-0.3875;mu_MeV=227.552757583|xi=-0.3875;mu_MeV=227.99741028,0.4446526969246918,228.44206297683934,143.5,143.5625,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.375,230.97541004821028,143.13468302115177,2.2626796791368284,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.375;mu_MeV=229.102221847,xi=-0.375;mu_MeV=230.038815948,xi=-0.375;mu_MeV=229.102221847|xi=-0.375;mu_MeV=230.038815948,0.9365941006950038,230.97541004821028,143.125,143.1875,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.3625,233.4574160543056,142.74204977180187,2.118678603514647,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.3625;mu_MeV=230.607098942,xi=-0.3625;mu_MeV=232.032257498,xi=-0.3625;mu_MeV=230.607098942|xi=-0.3625;mu_MeV=232.032257498,1.4251585563722813,233.4574160543056,142.75,142.8125,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.35,235.8902504269209,142.38185189581606,2.1597340780456045,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.35;mu_MeV=232.110327573,xi=-0.35;mu_MeV=234.000289,xi=-0.35;mu_MeV=232.110327573|xi=-0.35;mu_MeV=234.000289,1.889961426818445,235.8902504269209,142.375,142.4375,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.34375,237.08886296141702,142.2057261587494,2.208090339351304,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.34375;mu_MeV=232.787634045,xi=-0.34375;mu_MeV=234.938248503,xi=-0.34375;mu_MeV=232.787634045|xi=-0.34375;mu_MeV=234.938248503,2.1506144583667037,237.08886296141702,142.1875,142.25,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.3375,238.27592770007067,142.02239969546042,2.202283534568055,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.3375;mu_MeV=233.571411267,xi=-0.3375;mu_MeV=235.923669483,xi=-0.3375;mu_MeV=233.571411267|xi=-0.3375;mu_MeV=235.923669483,2.3522582167449286,238.27592770007067,142.0,142.0625,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.33125,239.45167450007006,141.82936478760712,2.1576763134530372,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.33125;mu_MeV=234.291703948,xi=-0.33125;mu_MeV=236.871689224,xi=-0.33125;mu_MeV=234.291703948|xi=-0.33125;mu_MeV=236.871689224,2.579985276201171,239.45167450007006,141.8125,141.875,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
crossover,-0.325,240.7638524009058,141.59108090134353,2.182478067963064,boundary_constrained_endpoint_interpolated_noncertified,derived_cep_boundary,boundary_constrained_linear_extension,xi=-0.325;mu_MeV=235.079104814,xi=-0.325;mu_MeV=237.921478608,xi=-0.325;mu_MeV=235.079104814|xi=-0.325;mu_MeV=237.921478608,2.842373793206548,240.7638524009058,141.5625,141.625,terminates_at_CEP_boundary_estimate,crossover_CEP_boundary,not_estimated_linear_interpolation,v6_native_support,3c5f6b3c9bd535cff7657364dadb2efc31f2ea48,8f19f73f7654663504dfa27a9a7e338df13e090bfc7501b8c201742defe4cb0b
